round_epochs,val_loss,val_acc,loss,acc,activation,batch_size,epochs,losses
40,0.0728202361253,1.0,0.0741434033599592,0.951612901303076,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,10,40,logcosh
40,0.5142189879571238,0.9354838555858981,0.4880500911704956,0.9919354819482372,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,10,40,binary_crossentropy
80,0.07363344680878424,1.0,0.07239279379287074,0.9758064458447118,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,10,80,logcosh
80,0.48589673542207285,0.9677419277929491,0.47330696111725223,0.9919354819482372,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,10,80,binary_crossentropy
100,0.06991207167025536,1.0,0.06963726061005746,0.9838709638964745,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,10,100,logcosh
100,0.4794359880108987,0.9677419277929491,0.4737763856687853,0.975806450651538,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,10,100,binary_crossentropy
150,0.07080950804295079,0.9677419277929491,0.06679271125505047,0.9919354819482372,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,10,150,logcosh
150,0.4875648444698703,0.9677419277929491,0.4731715278279397,0.9677419374066014,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,10,150,binary_crossentropy
40,0.0759614662777993,0.9354838901950467,0.08209688799275507,0.9274193606069011,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,11,40,logcosh
40,0.5049728020544975,0.9354838825041248,0.5122138175272173,0.9516129123587762,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,11,40,binary_crossentropy
80,0.07468135174243681,0.9354838901950467,0.07330286899401296,0.9596774260843953,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,11,80,logcosh
80,0.49185329771810965,1.0,0.4880734323974579,0.9677419398100146,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,11,80,binary_crossentropy
100,0.07616880439942883,0.9677419450975233,0.06846809345147302,1.0,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,11,100,logcosh
100,0.48280255256160615,0.9677419450975233,0.48061029108301284,0.9758064542566577,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,11,100,binary_crossentropy
150,0.07159967095621171,0.9677419450975233,0.0674104485961218,1.0,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,11,150,logcosh
150,0.48714493263152336,1.0,0.4635217355624322,0.9758064588231425,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,11,150,binary_crossentropy
40,0.07397242082703498,0.9677419431747929,0.07560538812991112,0.9596774270457606,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,12,40,logcosh
40,0.5362457508041013,0.8709677496264058,0.5008300235194545,0.9516129070712674,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,12,40,binary_crossentropy
80,0.07227631321837825,0.9677419431747929,0.07081424204572555,0.9838709715873964,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,12,80,logcosh
80,0.533804097483235,0.9677419431747929,0.47846485626312996,0.9838709715873964,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,12,80,binary_crossentropy
100,0.07149355281745234,1.0,0.06882399825319167,0.9919354857936982,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,12,100,logcosh
100,0.4815748997272984,1.0,0.47383211408891984,0.967741935483871,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,12,100,binary_crossentropy
150,0.07524705317712599,0.9032258064516129,0.06775656955376748,0.9919354857936982,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,12,150,logcosh
150,0.4875210706264742,0.9677419431747929,0.4641756905663398,0.983870965819205,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,12,150,binary_crossentropy
40,0.08931642842869605,0.9354838748132029,0.0769103147209652,0.9435483904615525,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,13,40,logcosh
40,0.49011299590910634,0.9677419374066014,0.49053904029630846,0.9758064530549511,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,13,40,binary_crossentropy
80,0.08977048579723604,0.9032258122198044,0.07240402740576575,0.9677419374066014,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,13,80,logcosh
80,0.498387296353617,0.9677419374066014,0.47428723713082654,0.9838709687033007,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,13,80,binary_crossentropy
100,0.0730060862918054,0.9677419374066014,0.0695370442924961,0.9919354843516504,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,13,100,logcosh
100,0.4843952742315108,0.9677419374066014,0.4707707613706589,0.9919354843516504,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,13,100,binary_crossentropy
150,0.07226984383117768,1.0,0.06647851946012627,1.0,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,13,150,logcosh
150,0.47786291280100424,1.0,0.45728105474864283,1.0,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,13,150,binary_crossentropy
40,0.07353180454623315,1.0,0.07495706949022508,0.9516128964962498,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,14,40,logcosh
40,0.5442856002238489,0.8387096735738939,0.49895718837938,0.951612897457615,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,14,40,binary_crossentropy
80,0.07425581759983493,0.9354838478949762,0.07100218774810914,0.9677419306770447,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,14,80,logcosh
80,0.49004646558915416,0.9677419239474881,0.4808814900536691,0.983870961973744,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,14,80,binary_crossentropy
100,0.08605041114553329,0.9677419239474881,0.06898177991951665,0.991935480986872,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,14,100,logcosh
100,0.48542734211491,0.9677419239474881,0.4759861370248179,0.983870961973744,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,14,100,binary_crossentropy
150,0.07540148628815528,0.9677419239474881,0.06909064215517813,0.9677419325997753,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,14,150,logcosh
150,0.48643412320844587,0.9354838478949762,0.4578650382257277,1.0,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,14,150,binary_crossentropy
40,0.08111020297773423,0.9354838748132029,0.07752804001492838,0.9354838748132029,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,15,40,logcosh
40,0.5203036819734881,0.9032258122198044,0.48988217403811796,0.9838709687033007,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,15,40,binary_crossentropy
80,0.08273254238790081,0.9677419374066014,0.07275969523095316,0.9596774212775692,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,15,80,logcosh
80,0.48624361426599566,0.9677419374066014,0.47489379586712005,1.0,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,15,80,binary_crossentropy
100,0.07275910002569999,0.9677419374066014,0.07048978902880222,0.9758064530549511,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,15,100,logcosh
100,0.49532317346142185,0.9677419374066014,0.47267382375655637,0.9919354843516504,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,15,100,binary_crossentropy
150,0.07198552282587174,0.9677419374066014,0.06847854006674982,0.9919354843516504,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,15,150,logcosh
150,0.4876772876708738,0.9677419374066014,0.46706851379525277,0.9838709687033007,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,15,150,binary_crossentropy
40,0.08085720072830876,0.9677419374066014,0.07372133938535567,0.9677419374066014,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,16,40,logcosh
40,0.5334949839499689,0.967741935483871,0.49234928815595563,0.9758064535356337,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,16,40,binary_crossentropy
80,0.08769259866206877,0.8387096831875462,0.07270218888598104,0.9596774193548387,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,16,80,logcosh
80,0.5030575452312347,0.9677419374066014,0.4796885646158649,1.0,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,16,80,binary_crossentropy
100,0.07908711294012685,0.9677419374066014,0.07175451781480544,0.9758064516129032,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,16,100,logcosh
100,0.4896931552117871,0.9677419374066014,0.48023474697143803,0.9838709677419355,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,16,100,binary_crossentropy
150,0.07288868052344169,0.9677419374066014,0.06683339899586092,1.0,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,16,150,logcosh
150,0.4793386891964943,0.9677419374066014,0.461519286517174,1.0,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,16,150,binary_crossentropy
40,0.0850281025613508,0.8387096735738939,0.07695073093618116,0.9354838748132029,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,17,40,logcosh
40,0.5177994928052349,1.0,0.48916102128644146,0.9919354843516504,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,17,40,binary_crossentropy
80,0.07614012639368734,0.9354838748132029,0.07004026101241188,0.9919354843516504,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,17,80,logcosh
80,0.4968644447865025,0.9677419239474881,0.48655618054251515,0.9758064530549511,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,17,80,binary_crossentropy
100,0.07184602608603816,0.9677419374066014,0.07220018444763075,0.9838709687033007,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,17,100,logcosh
100,0.48360743253461774,0.9677419239474881,0.4716555180568849,0.9919354843516504,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,17,100,binary_crossentropy
150,0.07389999325236966,0.9677419239474881,0.06896589588253729,1.0,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,17,150,logcosh
150,0.5323690099100913,0.9354838613540896,0.47007757665649536,0.9919354843516504,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,17,150,binary_crossentropy
40,0.07302366677791841,0.9677419374066014,0.07320730304045062,0.9838709600510136,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,18,40,logcosh
40,0.49908335554984307,0.9677419374066014,0.4885637298707039,0.9919354800255068,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,18,40,binary_crossentropy
80,0.0717873152705931,1.0,0.07285464723264018,0.9596774126252821,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,18,80,logcosh
80,0.5154941524228742,0.9677419374066014,0.4848409468127835,0.9919354800255068,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,18,80,binary_crossentropy
100,0.07228246763829262,0.9677419374066014,0.06875242040522637,1.0,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,18,100,logcosh
100,0.48920043822257747,0.9677419374066014,0.47176065992924476,1.0,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,18,100,binary_crossentropy
150,0.07378146484974892,0.9354838575086286,0.06837604182862467,1.0,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,18,150,logcosh
150,0.5068530921013125,0.9677419374066014,0.46085583731051416,1.0,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,18,150,binary_crossentropy
40,0.07578434170253816,1.0,0.07539813424791059,0.9838709653385224,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,19,40,logcosh
40,0.5200069239062648,0.9677419489429843,0.48813420101519556,0.9838709653385224,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,19,40,binary_crossentropy
80,0.07326092426815341,0.9677419431747929,0.07205331956426944,0.9677419345225057,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,19,80,logcosh
80,0.5017829489323401,0.9677419431747929,0.48292579333628377,1.0,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,19,80,binary_crossentropy
100,0.07186039152645296,0.9677419431747929,0.06984242664710168,0.9919354872357461,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,19,100,logcosh
100,0.49677913419661984,0.9677419431747929,0.47600449213097173,0.9919354872357461,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,19,100,binary_crossentropy
150,0.0743688662205973,0.9354838921177772,0.06747815229239003,1.0,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,19,150,logcosh
150,0.4850893703199202,1.0,0.47022157811349435,0.9838709687033007,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,19,150,binary_crossentropy
40,0.07419752065212495,1.0,0.07991610287177947,0.9274193471477877,<keras.layers.advanced_activations.ELU object at 0x7fc86b178518>,10,40,logcosh
40,0.4935177968394372,1.0,0.510721315299311,0.9516128984189802,<keras.layers.advanced_activations.ELU object at 0x7fc86b178518>,10,40,binary_crossentropy
80,0.07454119238161272,1.0,0.07323372508248975,0.9596774145480125,<keras.layers.advanced_activations.ELU object at 0x7fc86b178518>,10,80,logcosh
80,0.4874098435524971,0.9677419277929491,0.5002076279732489,0.9354838700063767,<keras.layers.advanced_activations.ELU object at 0x7fc86b178518>,10,80,binary_crossentropy
100,0.07298947101639162,0.9677419277929491,0.07295779967981,0.9758064458447118,<keras.layers.advanced_activations.ELU object at 0x7fc86b178518>,10,100,logcosh
100,0.47938160069527164,0.9677419277929491,0.4668294032735209,0.9919354819482372,<keras.layers.advanced_activations.ELU object at 0x7fc86b178518>,10,100,binary_crossentropy
150,0.06943251913593661,1.0,0.06638009689988629,1.0,<keras.layers.advanced_activations.ELU object at 0x7fc86b178518>,10,150,logcosh
150,0.4782894465231126,0.9677419277929491,0.45966761439077314,0.9838709638964745,<keras.layers.advanced_activations.ELU object at 0x7fc86b178518>,10,150,binary_crossentropy
40,0.08867030927250462,0.9032258199107263,0.07606409658347407,0.9596774260843953,<keras.layers.advanced_activations.ELU object at 0x7fc86b178518>,11,40,logcosh
40,0.50624658311567,0.9677419450975233,0.5070544969170324,0.9516129051485369,<keras.layers.advanced_activations.ELU object at 0x7fc86b178518>,11,40,binary_crossentropy
80,0.07158281726221885,1.0,0.07357417437578401,0.9758064588231425,<keras.layers.advanced_activations.ELU object at 0x7fc86b178518>,11,80,logcosh
80,0.4770209664298642,1.0,0.491187856562676,0.9677419398100146,<keras.layers.advanced_activations.ELU object at 0x7fc86b178518>,11,80,binary_crossentropy
100,0.07104837990576221,0.9677419450975233,0.07325955348149422,0.9677419431747929,<keras.layers.advanced_activations.ELU object at 0x7fc86b178518>,11,100,logcosh
100,0.4783161849744858,1.0,0.4814548038186566,0.9758064588231425,<keras.layers.advanced_activations.ELU object at 0x7fc86b178518>,11,100,binary_crossentropy
150,0.07016502633210152,1.0,0.06881061412634389,0.9838709672612529,<keras.layers.advanced_activations.ELU object at 0x7fc86b178518>,11,150,logcosh
